Total Duration,Total Cost FCFA
118.00913534736473,65570301.147949666
138.3427839153798,70366285.80851825
138.0713935621805,71822724.87037213
151.19526210226198,73616314.52821861
131.00920193689873,61831194.71097042
92.33340216705204,59786793.45985211
124.92406370314991,77877441.33087239
167.69834206577724,66317182.77596421
106.82383610869198,64352006.565865
137.28878946927597,69074357.16037105
133.9155516585588,74943095.16432133
158.21297251163014,68159065.40634508
147.5806967427075,72769320.2638948
162.0667704712562,68407015.95554818
140.90525729287248,67847159.72767897
146.64355349592782,72915685.31828251
159.76535964888927,61925614.325950816
123.17573454154244,74824058.87473392
152.1975031793898,70861013.0010423
128.7942636034542,71916408.35360733
154.96401126606884,70417390.99628878
173.6570477429066,70698638.25778967
142.81577168323366,58588580.49583062
149.47603551322143,65605916.53685819
166.65127321731612,64044961.90839141
127.4693470831718,66998538.14103996
155.01800782508647,65780880.74933694
150.9490154920541,66231604.69449117
130.46119223951987,64837921.91784251
133.55572392459214,69174555.4285091
143.87885819999374,71389933.42086367
127.25081018183758,74349917.4128975
131.93950617644464,70676642.60158955
121.76154180668397,69093894.74184063
139.09003902774901,68463168.18798533
135.60448754750254,77200983.53721642
128.04812681437042,68519529.90798914
156.7221579780954,59983386.934095785
130.94867057740203,61954704.596014515
132.8709121835804,81942355.48185666
166.74832194290698,76167409.8949088
158.53462206388878,82746953.44110367
140.10081104077125,74652919.67580514
137.63438942483606,67593432.06094915
119.0068735871383,73691827.19411042
130.91200939793723,78554167.2675989
146.67012668536722,74997489.89327517
162.4035616498654,68098165.61342435
184.9218340068428,62967726.296834394
129.91917945433642,72347317.60893615
144.03921396819567,84405520.6648952
142.94176837241002,68230098.2532837
140.49273037141856,68006083.99600711
157.586355392655,75848135.03482276
138.5707556305521,72576953.77552904
156.01147351590313,66913532.64428222
128.1010076625902,77194983.26877536
129.5160777011541,72028704.35233285
112.86179662676633,70620956.7483777
168.6797684324604,63788689.663336776
123.82716181380071,59582965.51060842
147.1172841588634,77520548.53753427
118.72005407989204,67699893.25964496
114.10135521776961,68545006.32850581
148.55415222713862,66723094.289021544
146.96040862639572,66153925.50794029
98.36029480913007,66415162.73245508
144.73209207801057,71030256.40345469
132.8692351337698,73991802.1322506
148.32869327713988,69268142.00522554
146.27111877211573,68946630.14343207
120.25331527898409,67720234.77487
128.1830074780391,72729654.99550566
128.96463965668528,70955024.06806278
160.94298284268666,61204072.61739755
162.334338879066,82800127.53623885
172.05486148912058,70425133.153826
153.30637005083614,75513764.73702219
169.11343406057773,73067639.96165986
122.68369080816372,75239850.28519787
147.5304221903268,67458044.18704899
132.90219417678964,69943788.04828215
131.72486411261553,76234832.57728195
204.52357683776577,70328817.1018272
137.3013078178829,66016623.72223317
114.22808285007358,78446833.98605756
97.71020509997993,69028579.59664474
135.39668961037444,76094689.20289451
91.38960046718694,76640247.685414
125.09992976537069,67735221.90367126
87.05188964871124,70546542.83456627
116.38637098548428,67338267.64011505
143.985184578927,71676052.49004194
138.1579406922216,72765955.79782219
129.92614882215497,69842753.01189157
149.34082175804576,68923813.04274254
114.67743562710723,81778678.52355959
142.73593471990225,69238408.09862673
111.43133261111855,77196143.68900383
129.48521666986463,81615832.18651539
157.52712316664272,66354628.37084049
153.91201146167933,60427411.5066501
177.74125315046555,68789349.5386666
150.79767245254888,69782948.86559312
115.32704345901546,73161837.16895361
143.9810698481728,66335379.3505382
154.6077617473057,73040785.17469738
144.6862449189994,69930674.47317708
141.13363690608108,83026926.04071476
161.31205887389328,76080919.78261282
114.08132476697102,81561295.51066977
152.44636343492397,72168158.88683377
146.27979712705155,75697892.35863723
115.84007143236336,73237983.97178164
123.95267193233732,75273305.80944832
105.94414952338516,65188102.6837291
122.21981111563592,77720250.3290306
166.35456060628346,72751525.36460751
127.38244598611682,75767476.53223647
115.38337321310343,65864921.90562961
135.06083499146342,67116761.19140689
138.5593547749365,71888843.73401982
164.3954482198898,70952692.75023863
179.4079325705507,84065952.96701817
151.58375588855466,69294231.71322767
123.45442138978031,76150494.99524167
123.43940478249056,70798520.38642384
89.59537759213158,71202395.676322
138.4455885328742,70111131.71260339
144.9404627593866,69224384.4288641
142.19254953998322,69003498.1657954
122.90184257437913,76486686.02340521
133.19647483847177,76224345.79701614
119.9499725557291,71439175.91833542
137.19643627177524,68615388.10786162
158.51516965443022,62915765.303952776
134.83318996693833,72161330.06522456
117.47951393482342,66852181.463181406
116.43548964723743,74025778.26010852
133.22936738850171,70200408.42045899
